Style,Yarn,Percentage,This Week,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Later,Total
C1B4313A/3RECD,18872,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.1,404.1
C1B4313A/3RECD,18927,30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,351.5","1,351.5"
C1B4313A/3RECD,18929,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,26.9
C1B4313A/3RECD,19003,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,211.0
C1B4350A/1L,12526,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4350A/1L,18184,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4350A/1L,18763,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4350A/1L,18888,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4350A/1L,18929,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4350A/1L,18935,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4356A/1,18426,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,19.5
C1B4356A/1,18442,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,7.3
C1B4356A/1,18763,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,20.1
C1B4356A/1,18865,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2
C1B4571A/1D,12150,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4571A/1D,18646,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4571A/1D,18712,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4571A/1D,18763,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4571A/1D,18929,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4571A/1D,18954,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4571A/1D,19046,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4571A/1N,18646,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,652.4","6,652.4"
C1B4571A/1N,18712,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"7,191.8","7,191.8"
C1B4571A/1N,18763,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"31,733.7","31,733.7"
C1B4571A/1N,18929,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.3,629.3
C1B4571A/1N,18954,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,202.9","6,202.9"
C1B4571A/1N,18993,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,506.0","3,506.0"
C1B4571A/1N,19046,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"33,981.1","33,981.1"
C1B4612A/1,12526,8.1,0.0,0.0,0.0,0.0,0.0,212.3,30.7,0.0,0.0,0.0,243.0
C1B4612A/1,18233,22,0.0,0.0,0.0,0.0,0.0,576.7,83.3,0.0,0.0,0.0,660.0
C1B4612A/1,18452,46.2,0.0,0.0,0.0,0.0,0.0,"1,211.0",175.0,0.0,0.0,0.0,"1,386.0"
C1B4612A/1,18673,23.7,0.0,0.0,0.0,0.0,0.0,621.2,89.8,0.0,0.0,0.0,711.0
C1B4613A/1,12526,15.9,0.0,0.0,0.0,447.8,188.2,0.0,0.0,0.0,0.0,0.0,636.0
C1B4613A/1,18233,19.7,0.0,0.0,0.0,554.8,233.2,0.0,0.0,0.0,0.0,0.0,788.0
C1B4613A/1,18372,22.4,0.0,0.0,0.0,630.9,265.1,0.0,0.0,0.0,0.0,0.0,896.0
C1B4613A/1,18452,42,0.0,0.0,0.0,"1,182.9",497.1,0.0,0.0,0.0,0.0,0.0,"1,680.0"
C1B4741A/1,11759,11.85,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9
C1B4741A/1,18233,11.45,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
C1B4741A/1,18318,14.46,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
C1B4741A/1,18763,37.12,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6
C1B4741A/1,18776,24.48,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2
C1B4741A/1,18929,0.63,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
C1B4747A/1,18372,37.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,15.1
C1B4747A/1,18622,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.7
C1B4747A/1,18794,47.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,19.2
C1B4770A/1,14148,13.46,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
C1B4770A/1,18376,14.41,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
C1B4770A/1,18594,26.08,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
C1B4770A/1,18763,39.54,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8
C1B4770A/1,18865,5.89,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
C1B4770A/1,18929,0.62,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
C1B4774A/1,18615,12.46,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
C1B4774A/1,18616,27.97,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2
C1B4774A/1,18763,52.07,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8
C1B4774A/1,18865,7.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
C1B4774A/2,18452,40.43,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2
C1B4774A/2,18763,52.07,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8
C1B4774A/2,18865,7.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
C1B4781A/1,7726,21.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,8.6
C1B4781A/1,18019,44.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,17.8
C1B4781A/1,18143,8.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,3.4
C1B4781A/1,18454,8.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,3.4
