Customer,SO #,Order #,Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Received
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507375,D68954,006895406,165.0,51.2,0,0,7/16/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507418,D68513,006851301,159.0,50.6,0,0,6/24/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507418,D68513,006851302,159.0,50.6,0,0,6/24/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507375,D68954,006895405,165.0,51.2,0,0,7/16/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507418,D68534,006853402,161.0,50.8,0,0,6/24/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507375,D68954,006895403,165.0,51.2,0,0,7/16/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507418,D68555,006855502,160.0,50.4,0,0,6/24/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507375,D68954,006895402,164.0,51.2,0,0,7/16/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507375,D68971,006897103,175.0,54.4,0,0,7/14/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507418,D68555,006855501,160.0,50.6,0,0,6/24/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507418,D68534,006853401,160.0,50.6,0,0,6/24/2025
CTIC - CREATIVE TICKING,S2507382,D68200,006820002,41.0,58.4,0,0,5/19/2025
CTIC - CREATIVE TICKING,S2507382,D68200,006820004,40.2,53.7,0,0,5/19/2025
CTIC - CREATIVE TICKING,S2507382,D68200,006820007,40.1,53.1,0,0,5/19/2025
CTIC - CREATIVE TICKING,S2507382,D68200,006820009,38.3,51.1,0,0,5/19/2025
CTIC - CREATIVE TICKING,S2507382,D68200,006820006,40.2,52.6,0,0,5/19/2025
CTIC - CREATIVE TICKING,S2507382,D68200,006820003,40.3,54.0,0,0,5/19/2025
CTIC - CREATIVE TICKING,S2507382,D68200,006820001,40.3,52.2,0,0,5/19/2025
CTIC - CREATIVE TICKING,S2507382,D68200,006820005,31.6,42.2,0,0,5/19/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2505226,D69024,006902405,40.5,53.1,0,0,7/15/2025
