Status,CSR,Unit Price,Quoted Date,cFVersion,fBase,On Hold,Ordered,Picked/Shipped,Balance,Available,UOM,SOP,PO #,Sold To,Ship To,Ship Date
Open,Genita Harris,$10.17 (yds),8/22/2025,1SM0470-30G,1SM0470-30G/ALTUS,"<div id='holdButton_24427' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24427,0)'></i></div>","1,500",0.0,"1,500.0",0.0,yds,SP2506096/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.17 (yds),8/15/2025,1SM0470-30G,1SM0470-30G/ALTUS,"<div id='holdButton_24426' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24426,0)'></i></div>","1,500",0.0,"1,500.0",0.0,yds,SP2506096/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.17 (yds),8/1/2025,1SM0470-30G,1SM0470-30G/ALTUS,"<div id='holdButton_24424' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24424,0)'></i></div>","1,500",0.0,"1,500.0",0.0,yds,SP2506096/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.17 (yds),7/25/2025,1SM0470-30G,1SM0470-30G/ALTUS,"<div id='holdButton_24423' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24423,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506096/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.43 (lbs),8/8/2025,2140395,2140395/FF,"<div id='holdButton_24144' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24144,0)'></i></div>","3,000",0.0,"3,000.0",0.0,lbs,SP2505207/1,337846,GATES DE MEXICO S de RI de CV,GATES - TX Eagle Pass,
Open,Genita Harris,$15.83 (yds),9/19/2025,601SM0654-2,601SM0654-2/ALTUS,"<div id='holdButton_24458' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24458,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2506112/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$15.83 (yds),8/29/2025,601SM0654-2,601SM0654-2/ALTUS,"<div id='holdButton_24457' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24457,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2506112/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$15.83 (yds),8/15/2025,601SM0654-2,601SM0654-2/ALTUS,"<div id='holdButton_24437' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24437,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2506103/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$11.97 (yds),8/15/2025,601SM0312,601SM0312/ALTUS,"<div id='holdButton_24451' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24451,0)'></i></div>",198,0.0,198.0,0.0,yds,SP2506109/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$11.97 (yds),8/29/2025,601SM0312,601SM0312/ALTUS,"<div id='holdButton_24456' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24456,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2506111/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
